attribute1,attribute2,correlation,p_value
danceability,danceability,1.0,0.0
danceability,acousticness,-0.271570237098503,2.2928768787240462e-18
danceability,liveness,-0.0976704342480127,0.0019871712041495313
danceability,loudness,0.2692730112264932,4.513063724956993e-18
danceability,speechiness,0.25021274885343064,9.69942753680727e-16
danceability,tempo,0.02146321060843098,0.49779990023445436
danceability,valence,0.55791972638728,6.915104913528284e-83
danceability,popularity,0.14826066895487722,2.4942968908650162e-06
acousticness,danceability,-0.271570237098503,2.2928768787240462e-18
acousticness,acousticness,0.9999999999999999,0.0
acousticness,liveness,-0.03224356098777491,0.3083831644780609
acousticness,loudness,-0.561122711718779,5.088180264028436e-84
acousticness,speechiness,-0.022481687804357935,0.4776210665239217
acousticness,tempo,-0.2329288430718856,8.686313091655874e-14
acousticness,valence,-0.19683959652231575,3.421819621109604e-10
acousticness,popularity,-0.4253451822239222,3.3251021953691426e-45
liveness,danceability,-0.0976704342480127,0.0019871712041495313
liveness,acousticness,-0.03224356098777491,0.3083831644780609
liveness,liveness,0.9999999999999999,0.0
liveness,loudness,0.05910039329436174,0.06173222113100925
liveness,speechiness,0.07915629958302693,0.012281850678022134
liveness,tempo,0.0030704380354948393,0.9227465933679687
liveness,valence,0.03161423358887696,0.31792593714796263
liveness,popularity,-0.08794389291543446,0.005386787990205207
loudness,danceability,0.2692730112264932,4.513063724956993e-18
loudness,acousticness,-0.561122711718779,5.088180264028436e-84
loudness,liveness,0.05910039329436174,0.06173222113100925
loudness,loudness,1.0,0.0
loudness,speechiness,-0.2001783877672892,1.6913497333871452e-10
loudness,tempo,0.21125475423634163,1.4947401315382015e-11
loudness,valence,0.32017390693473224,2.8484964177182113e-25
loudness,popularity,0.37838695064503014,2.160305719600637e-35
speechiness,danceability,0.25021274885343064,9.69942753680727e-16
speechiness,acousticness,-0.022481687804357935,0.4776210665239217
speechiness,liveness,0.07915629958302693,0.012281850678022134
speechiness,loudness,-0.2001783877672892,1.6913497333871452e-10
speechiness,speechiness,0.9999999999999999,0.0
speechiness,tempo,0.01177743701133786,0.7099059918269527
speechiness,valence,0.060033640774871964,0.05772666910958768
speechiness,popularity,-0.18124296849688132,7.828691582682513e-09
tempo,danceability,0.02146321060843098,0.49779990023445436
tempo,acousticness,-0.2329288430718856,8.686313091655874e-14
tempo,liveness,0.0030704380354948393,0.9227465933679687
tempo,loudness,0.21125475423634163,1.4947401315382015e-11
tempo,speechiness,0.01177743701133786,0.7099059918269527
tempo,tempo,0.9999999999999998,0.0
tempo,valence,0.14806969658850166,2.570424461494573e-06
tempo,popularity,0.08148345562408134,0.009943214079886914
valence,danceability,0.55791972638728,6.915104913528284e-83
valence,acousticness,-0.19683959652231575,3.421819621109604e-10
valence,liveness,0.03161423358887696,0.31792593714796263
valence,loudness,0.32017390693473224,2.8484964177182113e-25
valence,speechiness,0.060033640774871964,0.05772666910958768
valence,tempo,0.14806969658850166,2.570424461494573e-06
valence,valence,0.9999999999999999,0.0
valence,popularity,0.1144469820793028,0.000287259157028041
popularity,danceability,0.14826066895487722,2.4942968908650162e-06
popularity,acousticness,-0.4253451822239222,3.3251021953691426e-45
popularity,liveness,-0.08794389291543446,0.005386787990205207
popularity,loudness,0.37838695064503014,2.160305719600637e-35
popularity,speechiness,-0.18124296849688132,7.828691582682513e-09
popularity,tempo,0.08148345562408134,0.009943214079886914
popularity,valence,0.1144469820793028,0.000287259157028041
popularity,popularity,1.0,0.0
