acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.948,"['Franz Schubert', 'Eugene Ormandy', 'Philadelphia Orchestra']",0.105,263493,0.0355,0,6BdrHOEmokkSxTyxCojD6r,0.965,0,0.0956,-25.317,1,Serenade,55,1961,0.0393,91.169,0.039,1961
0.585,['Sun Ra'],0.573,263207,0.272,0,2Zn5TJZehjnQ9JJaIKHfn0,0.826,9,0.179,-14.102,0,The All of Everything,21,1970,0.0633,71.217,0.112,1970
0.92,['Labrinth'],0.563,202536,0.459,0,6potEImiklXkwD9qFzpu15,0.7240000000000001,4,0.11,-7.7810000000000015,0,Forever,75,2019-10-04,0.0292,79.983,0.197,2019
0.995,"['Johannes Brahms', 'Eugene Istomin']",0.453,305720,0.0198,0,0COogJzeLQn7tPuyfTT44W,0.925,3,0.132,-27.087,1,"Intermezzi, Op. 117: Intermezzo No. 1 in E-Flat Major",0,1946,0.0759,84.301,0.113,1946
0.132,['Sleep Sounds of Nature'],0.0589,237772,0.994,0,4NlsctTVxrTknjeiOKAdsr,0.983,1,0.946,-22.764,1,Under a Waterfall (Relaxing Sounds),51,2011-08-24,0.0667,47.986,1e-05,2011
0.99,"['George Butterworth', 'John Cameron']",0.343,165360,0.0614,0,4Lh7WfMsMssrCyzzjRYu5y,0.0275,4,0.0644,-19.082,1,A Shropshire Lad: Loveliest of Trees,0,1928,0.0495,132.887,0.0391,1928
0.174,['Creedence Clearwater Revival'],0.7509999999999999,152373,0.5489999999999999,0,2os4nK3Y63rxYs53hVxexF,0.00458,10,0.0919,-9.939,1,Lookin' Out My Back Door,47,1976-01-01,0.0395,105.276,0.847,1976
0.688,['Barbra Streisand'],0.335,137067,0.373,0,0pdikqE3inaFMjfUNDOmF0,0.0,0,0.345,-11.394,1,"Lover, Come Back To Me",18,1963-08,0.0788,210.241,0.7659999999999999,1963
0.0594,['Springtoifel'],0.358,157293,0.637,0,3tu1qSG0Zj0TjIuZNkTJ2A,0.0,2,0.578,-11.036,1,Handbrems,0,1937,0.0477,132.12,0.6,1937
0.982,['Woody Guthrie'],0.708,105667,0.371,0,2hIkunwNJZ0wVo2Xn1pwFY,1.62e-06,6,0.174,-12.11,1,Howdido,5,1958,0.333,55.378,0.496,1958
0.118,"['Grover Washington, Jr.']",0.71,366573,0.517,0,6mG32lzFGs8UxgpQKLIrQp,0.0151,10,0.0858,-8.982999999999997,0,Black Frost,35,1974,0.0655,89.37700000000002,0.8079999999999999,1974
0.0582,['DMX'],0.73,260427,0.921,1,3pL4Er2Dezj7MJ5yp25aMl,0.0,4,0.0939,-4.928,0,One More Road To Cross,46,1999-12-21,0.0936,94.284,0.47,1999
0.22,['Los Invasores De Nuevo León'],0.883,176200,0.52,0,4LciRG6uwOQUOzWqClmZdV,0.0,9,0.117,-8.576,1,Respeta Mi Dolor,50,2000-01-01,0.0288,99.966,0.748,2000
0.0007700000000000001,['gardenstate'],0.438,245760,0.86,0,7sRbmSAq8JHsRJbD1P7Ek4,0.649,9,0.103,-7.43,0,Surreal - Mixed,17,2020-12-03,0.0297,124.962,0.295,2020
0.595,['Billy Joel'],0.41,340427,0.524,0,31RKj9kULWI2lM4tYSvAmb,9.44e-05,0,0.077,-10.362,1,The Ballad of Billy the Kid,34,1973-11-09,0.0667,168.771,0.362,1973
0.187,['Ray Stevens'],0.703,225533,0.512,0,4MuDUGxerRIP7IiJzKfvM6,0.0,0,0.0838,-13.285,1,The Mississippi Squirrel Revival,47,1984-01-01,0.0859,108.122,0.691,1984
0.5670000000000001,"['Miles Davis', 'Lighthouse All Stars']",0.35200000000000004,722293,0.471,0,3UnVdcQBnVJLcefXeefzux,0.0175,0,0.7190000000000001,-15.059,1,A Night In Tunisia,15,1953-09-13,0.116,173.581,0.589,1953
0.848,['Bernard Herrmann'],0.155,107999,0.181,0,68IudtVTBlGFlDh4f8P0aY,0.696,10,0.126,-19.216,0,The Late Sea,4,1947,0.0385,106.367,0.0515,1947
0.0503,['Wailing Souls'],0.875,301667,0.522,0,13vbE21bpJBQnTL82nhaJ4,0.000661,7,0.0623,-8.502,1,Oh What A Feeling,35,1980,0.131,143.216,0.8170000000000001,1980
0.91,['Ella Fitzgerald'],0.53,168773,0.27,0,3RtJAYS51S5W6EMxrm9aMb,0.0,5,0.312,-11.251,0,Lullaby Of Birdland,46,1957-01-01,0.0365,110.844,0.515,1957
0.823,['Otis Redding'],0.662,190640,0.299,0,5sAwWI6P48R5MTrS2GUG29,3.86e-06,1,0.0571,-13.503,1,Nobody Knows You (When You're Down and Out),39,1966-04-01,0.0359,77.485,0.509,1966
0.959,['Thelonious Monk'],0.597,197013,0.334,0,6sAoHnYnV1n8eITgQVurTn,0.939,3,0.08800000000000001,-12.731,0,Ask Me Now - Remastered 1998,15,1952,0.0359,66.87100000000001,0.107,1952
0.96,['Perry Como'],0.246,181347,0.193,0,3oO98kiu8GUWJQXIVFxz3T,0.563,7,0.15,-15.168,1,Coo Coo Roo Coo Coo Paloma,26,1966,0.0296,73.78,0.236,1966
0.0187,"['Pop Smoke', 'A Boogie Wit da Hoodie']",0.905,190534,0.647,1,2r6OAV3WsYtXuXjvJ1lIDi,0.0,10,0.282,-5.065,0,Hello (feat. A Boogie Wit da Hoodie),87,2020-07-20,0.107,130.97,0.3670000000000001,2020
0.86,"['Harold Arlen', 'Eileen Farrell', 'Luther Henderson', 'Luther Henderson Orchestra']",0.379,217347,0.268,0,44Gw9I1SVfQPux9mLXYdpd,0.0,5,0.226,-14.765,0,Blues in the Night - Remastered,0,1947,0.0501,74.025,0.322,1947
0.8109999999999999,['David Bowie'],0.401,190080,0.156,0,1p4krvaKEJWr3ou3D5IZQy,0.0,4,0.0844,-18.92,1,Fill Your Heart - 2015 Remaster,45,1971-12-17,0.0375,156.785,0.501,1971
0.939,['Kenny G'],0.266,236227,0.211,0,2drJfob9PoGVtQoe08NRvE,0.767,5,0.109,-11.973,1,Have Yourself a Merry Little Christmas,51,2012-09-21,0.0357,169.503,0.182,2012
0.0908,['Real McCoy'],0.813,236933,0.882,0,3pEuO9J2MTEmec8kUfYYvl,0.00457,7,0.147,-7.575,1,Another Night,60,1995-03-28,0.0402,125.983,0.8740000000000001,1995
0.00125,['Circle Jerks'],0.6509999999999999,140213,0.8809999999999999,0,4g8dnGzxh6xpBDbKzaSvAO,0.0,11,0.0263,-7.3279999999999985,0,Wonderful,22,1985-07-21,0.0327,115.722,0.758,1985
0.000147,['Wedard'],0.222,449646,0.997,0,0ss3kKbPDVAOTVkvjgzO48,0.901,5,0.0756,-8.718,0,Towards the Lonely Path of Winter2011,2,2012-10-14,0.373,142.037,0.036000000000000004,2012
0.157,['Stevie Wonder'],0.583,232093,0.546,0,6vKSrqeuPqnlsqDbBj6F3n,0.0,6,0.094,-10.885,1,Sir Duke,51,1999-11-23,0.0742,106.65,0.952,1999
